initial_l,minimum_preload,min_source_integral
2.6099999999999994,4.893178839204402,-4.893178839204402
2.6549999999999994,4.573658101470637,-4.573658101470637
2.6999999999999993,3.8293298946265297,-3.8293298946265297
2.744999999999999,2.805485088627633,-2.805485088627633
2.789999999999999,1.8349905192342504,-1.8349905192342504
2.834999999999999,1.6557886450468513,-1.6557886450468513
2.879999999999999,1.3092833605047438,-1.3092833605047438
2.924999999999999,0.95176571035747,-0.95176571035747
2.969999999999999,0.760043936839166,-0.760043936839166
3.014999999999999,0.6917853766835207,-0.6917853766835207
3.0599999999999987,0.6008938654361925,-0.6008938654361925
3.1050000000000004,0.4158641914133476,-0.4158641914133476
3.1500000000000004,0.276478454706067,-0.276478454706067
3.1950000000000003,0.21625616755206065,-0.21625616755206065
3.24,0.17102529000997838,-0.17102529000997838
3.285,0.12152670319584495,-0.12152670319584495
3.33,0.07271350720869303,-0.07271350720869303
3.375,0.037658364820805236,-0.037658364820805236
3.42,0.003948506821368967,-0.003948506821368967
3.465,-0.0,0.0
3.51,-0.0,0.0
3.5549999999999997,-0.0,0.0
3.5999999999999996,-0.0,0.0
3.6449999999999996,-0.0,0.0
3.6899999999999995,-0.0,0.0
3.7349999999999994,-0.0,0.0
3.7799999999999994,-0.0,0.0
3.8249999999999993,-0.0,0.0
3.869999999999999,-0.0,0.0
3.914999999999999,0.025581271823126667,-0.025581271823126667
3.959999999999999,0.05354788969332217,-0.05354788969332217
4.004999999999999,0.06511032601668146,-0.06511032601668146
4.049999999999999,0.059906276040639674,-0.059906276040639674
4.094999999999999,0.030124971998178457,-0.030124971998178457
4.139999999999999,-0.0,0.0
4.184999999999999,-0.0,0.0
4.229999999999999,0.00833346259793328,-0.00833346259793328
4.275,0.026930611960652624,-0.026930611960652624
4.32,0.03938307596925453,-0.03938307596925453
4.365,0.037456721407408286,-0.037456721407408286
4.41,0.02096499896749106,-0.02096499896749106
4.455,-0.0,0.0
4.5,-0.0,0.0
4.545,-0.0,0.0
4.59,-0.0,0.0
4.635,-0.0,0.0
4.68,0.005336472100704938,-0.005336472100704938
4.725,-0.0,0.0
4.77,-0.0,0.0
4.8149999999999995,-0.0,0.0
4.859999999999999,-0.0,0.0
4.904999999999999,-0.0,0.0
4.949999999999999,-0.0,0.0
4.994999999999999,-0.0,0.0
5.039999999999999,-0.0,0.0
5.084999999999999,-0.0,0.0
5.129999999999999,-0.0,0.0
5.174999999999999,-0.0,0.0
5.219999999999999,1.0524442053201155e-05,-1.0524442053201155e-05
5.264999999999999,1.7858797632004063e-05,-1.7858797632004063e-05
5.309999999999999,3.028298510611661e-08,-3.028298510611661e-08
5.354999999999999,-0.0,0.0
5.399999999999999,-0.0,0.0
5.445,-0.0,0.0
5.49,-0.0,0.0
5.535,-0.0,0.0
5.58,-0.0,0.0
5.625,-0.0,0.0
5.67,-0.0,0.0
5.715,-0.0,0.0
5.76,-0.0,0.0
5.805,-0.0,0.0
5.85,-0.0,0.0
5.895,-0.0,0.0
5.9399999999999995,-0.0,0.0
5.984999999999999,-0.0,0.0
6.029999999999999,-0.0,0.0
6.074999999999999,-0.0,0.0
6.119999999999999,-0.0,0.0
6.164999999999999,-0.0,0.0
6.209999999999999,-0.0,0.0
6.254999999999999,-0.0,0.0
6.299999999999999,-0.0,0.0
6.344999999999999,-0.0,0.0
6.389999999999999,-0.0,0.0
6.434999999999999,-0.0,0.0
6.479999999999999,-0.0,0.0
6.524999999999999,-0.0,0.0
6.57,-0.0,0.0
6.615,-0.0,0.0
6.66,-0.0,0.0
6.705,-0.0,0.0
6.75,-0.0,0.0
6.795,-0.0,0.0
6.84,-0.0,0.0
6.885,-0.0,0.0
6.93,-0.0,0.0
6.975,-0.0,0.0
7.02,-0.0,0.0
7.064999999999998,-0.0,0.0
7.109999999999999,-0.0,0.0
7.155000000000001,-0.0,0.0
7.199999999999999,-0.0,0.0
7.245000000000001,-0.0,0.0
7.289999999999999,-0.0,0.0
7.335000000000001,-0.0,0.0
7.379999999999999,-0.0,0.0
7.425000000000001,-0.0,0.0
7.469999999999999,-0.0,0.0
7.515000000000001,-0.0,0.0
7.559999999999999,-0.0,0.0
7.605,-0.0,0.0
7.649999999999999,-0.0,0.0
7.695,-0.0,0.0
7.739999999999998,-0.0,0.0
7.785,-0.0,0.0
7.829999999999998,-0.0,0.0
7.875,-0.0,0.0
7.919999999999998,-0.0,0.0
7.965,-0.0,0.0
8.009999999999998,-0.0,0.0
8.055,-0.0,0.0
8.099999999999998,-0.0,0.0
8.145,-0.0,0.0
8.189999999999998,-0.0,0.0
8.235,-0.0,0.0
8.280000000000001,-0.0,0.0
8.325,-0.0,0.0
8.370000000000001,-0.0,0.0
8.415,-0.0,0.0
8.46,-0.0,0.0
8.504999999999999,-0.0,0.0
8.55,-0.0,0.0
8.594999999999999,-0.0,0.0
8.64,-0.0,0.0
8.684999999999999,-0.0,0.0
8.73,-0.0,0.0
8.774999999999999,-0.0,0.0
8.82,-0.0,0.0
8.864999999999998,-0.0,0.0
8.91,-0.0,0.0
8.954999999999998,-0.0,0.0
9.0,-0.0,0.0
